site_name,name,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes
"Kromdraasi, South Africa",TM 1517,Paranthropus,robustus ,partial cranium ,1938,1.9,1.77,1.95,Robert Broom and Gert Terblanche,31,
"Malapa, South Africa",MH1,Australopithecus ,sediba,cranium,2008,1.977,1.78,1.95,Matthew Berger ,32,
"East Rudolf, Kenya",KNM-ER 1470,Homo,rudolfensis ,cranium ,1972,1.9,,,,33,
"East Rudolf, Kenya",KNM-ER 1472,Homo,rudolfensis ,femur,1972,,2.6,2.9,,33,
"East Rudolf, Kenya",KNM-ER 1475,Homo,rudolfensis ,femur,1972,,2.6,2.9,,33,
"East Turkana, Kenya",KNM-ER 1813,Homo ,habilis,cranium,1973,1.86,1.78,1.94,Kamoyai Kimeau ,34,
"Olduvai Gorge, Tanzania ",OH 8,Homo ,habilis,feet,1960,1.7,,,Louis Leaky,35,
"Dmanisi, Georgia",D 2700,Homo,erectus,cranium,2001,1.81,1.77,1.85,David Lordkipanidze ,36,
"Dmanisi, Georgia",D 3444,Homo,erectus,cranium,2002,1.81,1.77,1.85,David Lordkipanidze ,36,
"Dmanisi, Georgia",D 2280,Homo,erectus,partial cranium ,1999,1.81,1.77,1.85,David Lordkipanidze ,36,
"East Rudolf, Kenya",KNM-ER 1805,Homo,habilis,partial cranium ,1973,,1.8,1.9,Paul Abell,45,
"Olduvai Gorge, Tanzania ",OH 24,Homo,habilis,cranium,1968,1.8,,,Peter Nzube ,41,
"Koobie Fora, Kenya",KNM-ER 6203,Homo,rudolfensis ,patial cranium ,,,1.91,1.95,Meave Leakey ,42,
"Koobie Fora, Kenya",KNM-ER 6201,Homo,rudolfensis ,mandible,,,1.9,1.95,Meave Leakey ,42,
