,site_name,name,genus_species,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes,lon,lat
1,"Pyrgos Vasilissis Amalia, Athens, Greece",type specimen,Graecopithecus freybergi,Graecopithecus,freybergi,mandible,1944,7.175,NA,NA,B. von Freyberg,1,name never explicitely given,23.7216315,38.0415273
2,"Azmaka, Chirpan, Bulgaria",RIM 438/387,Graecopithecus freybergi,Graecopithecus,freybergi,teeth ,2010,7.24,NA,NA,"N. Spassov, D. Geraads, L. Hristova, G.N. Markov, G. Merceron, T. Tzankov , K. Stoyanov, M. Böhme, A. Dimitrova",2,NA,25.3248541,42.2020702
3,"Djurab Desert, Chad",TM 266-01-060-1,Orrorin  tugenensis,Orrorin ,tugenensis,cranium,2001,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
4,"Djurab Desert, Chad",TM 266-01-060-2,Orrorin  tugenensis,Orrorin ,tugenensis,mandible,2001,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
5,"Djurab Desert, Chad",TM 266-01-447,Orrorin  tugenensis,Orrorin ,tugenensis,teeth ,2001,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
6,"Djurab Desert, Chad",TM 266-01-448,Orrorin  tugenensis,Orrorin ,tugenensis,teeth ,2001,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
7,"Djurab Desert, Chad",TM 266-02-154-1,Orrorin  tugenensis,Orrorin ,tugenensis,mandible,2002,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
8,"Djurab Desert, Chad",TM 266-02-154-2,Orrorin  tugenensis,Orrorin ,tugenensis,teeth ,2002,NA,6,7,"Michel Brunet, Alain Beauvilain, Fanone Gongdibe, Mahamat Adoum and Ahounta Djimdoumalbaye",3,NA,18.9996897,15.0020708
9,"middle awash, ethiopia",AME-VP-1/71,Ardipithicus kadabba,Ardipithicus,kadabba,foot,1999,NA,5.2,5.8,L. Hlusko,4,NA,39.9997991,9.9999553
10,"middle awash, ethiopia",ALA-VP-2/10,Ardipithicus kadabba,Ardipithicus,kadabba,mandible,1997,NA,5.2,5.8,Yohannes Haile-Selassie,4,NA,39.9997991,9.9999553
11,"middle awash, ethiopia",ALA-VP-2/11,Ardipithicus kadabba,Ardipithicus,kadabba,hand,1997,NA,5.2,5.8,S. Eschete,4,NA,39.9997991,9.9999553
