citation,associated_group_num
"Fuss, J., Spassov, N., Begun, D. R., & Böhme, M. (2017). Potential hominin affinities of Graecopithecus from the Late Miocene of Europe. PloS one, 12(5), e0177127.",1
"Spassov, N., Geraads, D., Hristova, L., Markov, G. N., Merceron, G., Tzankov, T., ... & Dimitrova, A. (2012). A hominid tooth from Bulgaria: the last pre-human hominid of continental Europe. Journal of human evolution, 62(1), 138-145.",2
"Brunet, M., Guy, F., Pilbeam, D., Mackaye, H. T., Likius, A., Ahounta, D., ... & Zollikofer, C. (2002). A new hominid from the Upper Miocene of Chad, Central Africa. Nature, 418(6894), 145-151.",3
"Aiello, L. C., & Collard, M. (2001). Our newest oldest ancestor?. Nature, 410(6828), 526-527.",3
"Haile-Selassie, Y. (2001). Late Miocene hominids from the middle Awash, Ethiopia. Nature, 412(6843), 178-181.",4
"Kramer, A. (1986). Hominid?pongid distinctiveness in the miocene?pliocene fossil record: The lothagam mandible. American Journal of Physical Anthropology, 70(4), 457-473.",6
"Kissel, M., & Hawks, J. (2015). What are the Lothagam and Tabarin Mandibles?. PaleoAnthropology, 37, 43.",6
"Leakey, M. G., Feibel, C. S., McDougall, I., Ward, C., & Walker, A. (1998). New specimens and confirmation of an early age for Australopithecus anamensis. Nature, 393(6680), 62-66.",9
"Haile-Selassie, Y., Latimer, B. M., Alene, M., Deino, A. L., Gibert, L., Melillo, S. M., ... & Lovejoy, C. O. (2010). An early Australopithecus afarensis postcranium from Woranso-mille, Ethiopia. Proceedings of the National Academy of Sciences, 107(27), 12121-12126.",10
"Curtis, G. H., Leakey, M. D., & Hay, R. L. (1976). Fossil hominids from the Laetoli Beds. Nature, 262, 460-466.",11
"Brunet, M., Beauvilain, A., Coppens, Y., Heintz, E., Moutaye, A. H., & Pilbeam, D. (1995). The first australopithecine 2,500 kilometres west of the Rift Valley (Chad). Nature, 378(6554), 273-275.",12
"Leakey, M. G., Spoor, F., Brown, F. H., Gathogo, P. N., Kiarie, C., Leakey, L. N., & McDougall, I. (2001). New hominin genus from eastern Africa shows diverse middle Pliocene lineages. Nature, 410(6827), 433-440.",13
"Alemseged, Z., Spoor, F., Kimbel, W. H., Bobe, R., Geraads, D., Reed, D., & Wynn, J. G. (2006). A juvenile early hominin skeleton from Dikika, Ethiopia. Nature, 443(7109), 296-301.",14
"Bruxelles, L., Clarke, R. J., Maire, R., Ortega, R., & Stratford, D. (2014). Stratigraphic analysis of the Sterkfontein StW 573 Australopithecus skeleton and implications for its age. Journal of human evolution, 70, 36-48.",15
"Granger, D. E., Gibbon, R. J., Kuman, K., Clarke, R. J., Bruxelles, L., & Caffee, M. W. (2015). New cosmogenic burial ages for Sterkfontein member 2 Australopithecus and member 5 Oldowan. Nature, 522(7554), 85-88.",15
"Walter, R. C. (1994). Age of Lucy and the first family: single-crystal 40Ar/39Ar dating of the Denen Dora and lower Kada Hadar members of the Hadar Formation, Ethiopia. Geology, 22(1), 6-10.",16
"Johanson, D. C., Lovejoy, C. O., Kimbel, W. H., White, T. D., Ward, S. C., Bush, M. E., ... & Coppens, Y. (1982). Morphology of the Pliocene partial hominid skeleton (AL 288?1) from the Hadar formation, Ethiopia. American Journal of Physical Anthropology, 57(4), 403-451.",16
"Johanson, D., Edey, M., & Edey, M. A. (1990). Lucy: The beginnings of humankind. Simon and Schuster.",16
"Haile-Selassie, Y., Gibert, L., Melillo, S. M., Ryan, T. M., Alene, M., Deino, A., ... & Saylor, B. Z. (2015). New species from Ethiopia further expands Middle Pliocene hominin diversity. Nature, 521(7553), 483-488.",17
"Kimbel, W. H., Johanson, D. C., & Rak, Y. (1994). The first skull and other new discoveries of Australopithecus afarensis at Hadar, Ethiopia. Nature, 368(6470), 449-451.",18
"Thackeray, J. F., Braga, J., Treil, J., Niksch, N., & Labuschagne, J. H. (2002). 'Mrs Ples'(Sts 5) from Sterkfontein: an adolescent male?: news & views. South African journal of science, 98(1), 21-22.",19
"Herries, A. I., & Shaw, J. (2011). Palaeomagnetic analysis of the Sterkfontein palaeocave deposits: Implications for the age of the hominin fossils and stone tool industries. Journal of human evolution, 60(5), 523-539.",19
"Bonmatí, A., Arsuaga, J. L., & Lorenzo, C. (2008). Revisiting the Developmental Stage and Age?at?Death of the “Mrs. Ples”(Sts 5) and Sts 14 Specimens from Sterkfontein (South Africa): Do They Belong to the Same Individual?. The Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology: Advances in Integrative Anatomy and Evolutionary Biology, 291(12), 1707-1722.",20
"Early Homo at 2.8 Ma from Ledi-Geraru, Afar, Ethiopia",21
"Štrkalj, G., & Kaszycka, K. A. (2012). Shedding new light on an old mystery: Early photographs of the Taung Child. South African Journal of Science, 108(11-12), 92-96.",22
"Lacruz, R. S., Rozzi, F. R., & Bromage, T. G. (2005). Dental enamel hypoplasia, age at death, and weaning in the Taung child. South African Journal of Science, 101(11), 567-569.",22
"LEWIN, R. (1985). How old is the taung child?. Science, 228(4695), 43-43.",22
"Asfaw, B., White, T., Lovejoy, O., Latimer, B., Simpson, S., & Suwa, G. (1999). Australopithecus garhi: a new species of early hominid from Ethiopia. Science, 284(5414), 629-635.",23
"Conroy, G. C., Falk, D., Guyer, J., Weber, G. W., Seidler, H., & Recheis, W. (2000). Endocranial capacity in Sts 71 (Australopithecus africanus) by three?dimensional computed tomography. The Anatomical Record: An Official Publication of the American Association of Anatomists, 258(4), 391-396.",24
"Herries, A. I., Martin, J. M., Leece, A. B., Adams, J. W., Boschian, G., Joannes-Boyau, R., ... & Menter, C. (2020). Contemporaneity of Australopithecus, Paranthropus, and early Homo erectus in South Africa. Science, 368(6486).",25
"Herries, A. I., Martin, J. M., Leece, A. B., Adams, J. W., Boschian, G., Joannes-Boyau, R., ... & Menter, C. (2020). Contemporaneity of Australopithecus, Paranthropus, and early Homo erectus in South Africa. Science, 368(6486).",26
"Schrenk, F., Bromage, T. G., Betzler, C. G., Ring, U., & Juwayeyi, Y. M. (1993). Oldest Homo and Pliocene biogeography of the Malawi rift. Nature, 365(6449), 833-836.",27
"Herries, A. I., Martin, J. M., Leece, A. B., Adams, J. W., Boschian, G., Joannes-Boyau, R., ... & Menter, C. (2020). Contemporaneity of Australopithecus, Paranthropus, and early Homo erectus in South Africa. Science, 368(6486).",28
"Keyser, A. W. (2000). The Drimolen skull: the most complete australopithecine cranium and mandible to date. South African Journal of Science, 96(4), 189-193.",28
"Walker, A., Leakey, R. E., Harris, J. M., & Brown, F. H. (1986). 2.5-myr Australopithecus boisei from west of Lake Turkana, Kenya. Nature, 322(6079), 517-522.",29
"Johanson, D. C., & Taieb, M. (1976). Plio—pleistocene hominid discoveries in Hadar, Ethiopia. Nature, 260(5549), 293-297.",30
"Cazenave, M., Dean, C., Zanolli, C., Oettlé, A. C., Hoffman, J., Tawane, M., ... & Macchiarelli, R. (2020). Reassessment of the TM 1517 odonto?postcranial assemblage from Kromdraai B, South Africa, and the maturational pattern of Paranthropus robustus. American Journal of Physical Anthropology, 172(4), 714-722.",31
"Thackeray, J. F., Kirschvink, J. L., & Raub, T. D. (2002). Palaeomagnetic analyses of calcified deposits from the Plio-Pleistocene hominid site of Kromdraai, South Africa: news & views. South African Journal of Science, 98(11), 537-540.",31
"Berger, L. R., De Ruiter, D. J., Churchill, S. E., Schmid, P., Carlson, K. J., Dirks, P. H., & Kibii, J. M. (2010). Australopithecus sediba: a new species of Homo-like australopith from South Africa. Science, 328(5975), 195-204.",32
"Leakey, R. E. (1973). Evidence for an advanced plio-pleistocene hominid from East Rudolf, Kenya. Nature, 242(5398), 447-450.",33
"Benazzi, S., Gruppioni, G., Strait, D. S., & Hublin, J. J. (2014). Virtual reconstruction of KNM?ER 1813 Homo habilis cranium. American journal of physical anthropology, 153(1), 154-160.",34
"Day, M. H., & Wood, B. A. (1968). Functional affinities of the Olduvai Hominid 8 talus. Man, 3(3), 440-455.",35
"de Lumley, M. A., Gabounia, L., Vekua, A., & Lordkipanidze, D. (2006). Human remains from the Upper Pliocene-Early Pleistocene Dmanissi site, Georgia (1991-2000). Part I: the fossil skulls (D 2280, D 2282 and D 2700). Anthropologie, 110(1), 1-110.",36
"Lordkipanidze, D., de León, M. S. P., Margvelashvili, A., Rak, Y., Rightmire, G. P., Vekua, A., & Zollikofer, C. P. (2013). A complete skull from Dmanisi, Georgia, and the evolutionary biology of early Homo. Science, 342(6156), 326-331.",37
"Gabunia, L., Vekua, A., Lordkipanidze, D., Swisher, C. C., Ferring, R., Justus, A., ... & Mouskhelishvili, A. (2000). Earliest Pleistocene hominid cranial remains from Dmanisi, Republic of Georgia: taxonomy, geological setting, and age. Science, 288(5468), 1019-1025.",37
"Lordkipanidze, D., de León, M. S. P., Margvelashvili, A., Rak, Y., Rightmire, G. P., Vekua, A., & Zollikofer, C. P. (2013). A complete skull from Dmanisi, Georgia, and the evolutionary biology of early Homo. Science, 342(6156), 326-331.",38
"Gabunia, L., Vekua, A., Lordkipanidze, D., Swisher, C. C., Ferring, R., Justus, A., ... & Mouskhelishvili, A. (2000). Earliest Pleistocene hominid cranial remains from Dmanisi, Republic of Georgia: taxonomy, geological setting, and age. Science, 288(5468), 1019-1025.",38
"Lordkipanidze, D., de León, M. S. P., Margvelashvili, A., Rak, Y., Rightmire, G. P., Vekua, A., & Zollikofer, C. P. (2013). A complete skull from Dmanisi, Georgia, and the evolutionary biology of early Homo. Science, 342(6156), 326-331.",39
"Gabunia, L., Vekua, A., Lordkipanidze, D., Swisher, C. C., Ferring, R., Justus, A., ... & Mouskhelishvili, A. (2000). Earliest Pleistocene hominid cranial remains from Dmanisi, Republic of Georgia: taxonomy, geological setting, and age. Science, 288(5468), 1019-1025.",39
"Leakey, R. E. F. (1974). Further evidence of Lower Pleistocene hominids from East Rudolf, North Kenya, 1973. Nature, 248(5450), 653-656.",40
"Leakey, M. D., Clarke, R. J., & Leakey, L. S. (1971). New hominid skull from bed I, Olduvai Gorge, Tanzania. Nature, 232(5309), 308-312.",41
"Leakey, M. G., Spoor, F., Dean, M. C., Feibel, C. S., Antón, S. C., Kiarie, C., & Leakey, L. N. (2012). New fossils from Koobi Fora in northern Kenya confirm taxonomic diversity in early Homo. Nature, 488(7410), 201-204.",42
"Leakey, L. S. (1959). A new fossil skull from Olduvai. Nature, 184(4685), 491-493.",43
"Gipps, J. (2005). Dead man talking: What skulls can tell us about human evolution. Teaching Science: The Journal of the Australian Science Teachers Association, 51(3).",43
"Leakey, L. S., Tobias, P. V., & NAPIER JR, A. N. S. O. (1964). THE GENUS HOMO FROM OLDUVAI GORGE. Nature, 7-9.",44
"Spoor, F., Gunz, P., Neubauer, S., Stelzer, S., Scott, N., Kwekason, A., & Dean, M. C. (2015). Reconstructed Homo habilis type OH 7 suggests deep-rooted species diversity in early Homo. Nature, 519(7541), 83-86.",44
"Prat, S. (2002). Anatomical study of the skull of the Kenyan specimen KNM-ER 1805: a re-evaluation of its taxonomic allocation?. Comptes Rendus Palevol, 1(1), 27-33.",45
"Zhu, R. X., Potts, R., Pan, Y. X., Yao, H. T., Lü, L. Q., Zhao, X., ... & Deng, C. L. (2008). Early evidence of the genus Homo in East Asia. Journal of human evolution, 55(6), 1075-1085.",46
"Lepre, C. J., & Kent, D. V. (2010). New magnetostratigraphy for the Olduvai Subchron in the Koobi Fora Formation, northwest Kenya, with implications for early Homo. Earth and Planetary Science Letters, 290(3-4), 362-374.",47
"Brown, F., Harris, J., Leakey, R., & Walker, A. (1985). Early Homo erectus skeleton from west lake Turkana, Kenya. Nature, 316(6031), 788-792.",48
"Morwood, M. J., O’Sullivan, P., Susanto, E. E., & Aziz, F. (2003). Revised age for Mojokerto 1, an early Homo erectus cranium from East Java, Indonesia. Australian Archaeology, 57(1), 1-4.",49
"de la Torre, I., Mora, R., & Martínez-Moreno, J. (2008). The early Acheulean in Peninj (Lake Natron, Tanzania). Journal of Anthropological Archaeology, 27(2), 244-264.",50
"Silverman, N., Richmond, B., & Wood, B. (2001). Testing the taxonomic integrity of Paranthropus boisei sensu stricto. American Journal of Physical Anthropology: The Official Publication of the American Association of Physical Anthropologists, 115(2), 167-178.",51
